name,type,data/description/value,data/description/chat,data/description/unidentified,data/source,data/activation/type,data/activation/cost,data/activation/condition,data/duration/value,data/duration/units,data/target/value,data/target/units,data/target/type,data/range/value,data/range/long,data/range/units,data/uses/value,data/uses/max,data/uses/per,data/consume/type,data/consume/target,data/consume/amount,data/ability,data/actionType,data/attackBonus,data/chatFlavor,data/critical,data/damage/versatile,data/formula,data/save/ability,data/save/dc,data/save/scaling,data/level,data/school,data/components/value,data/components/vocal,data/components/somatic,data/components/material,data/components/ritual,data/components/concentration,data/materials/value,data/materials/consumed,data/materials/cost,data/materials/supply,data/preparation/mode,data/preparation/prepared,data/scaling/mode,data/scaling/formula,data/img
Otiluke’s Resilient Sphere,spell,"<p>A sphere of shimmering force encloses a creature or object of Large size or smaller within range. An unwilling creature must make a Dexterity saving throw. On a failed save, the creature is enclosed for the duration.</p><p>Nothing–not physical objects, energy, or other spell effects–can pass through the barrier, in or out, though a creature in the sphere can breathe there. The sphere is immune to all damage, and a creature or object inside can’t be damaged by attacks or effects originating from outside, nor can a creature inside the sphere damage anything outside it.</p><p>The sphere is weightless and just large enough to contain the creature or object inside. An enclosed creature can use its action to push against the sphere’s walls and thus roll the sphere at up to half the creature’s speed. Similarly, the globe can be picked up and moved by other creatures.</p><p>A disintegrate spell targeting the globe destroys it without harming anything inside it.</p> ",,,Rapazeada,action,1,,minute,1,,,,9,,ft,0,0,,,,,,,0,,,,,,,spell,4,evo,,true,true,true,false,true,a hemispherical piece of clear crystal and a matching hemispherical piece of gum arabic,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Nystul’s Magic Aura,spell,"<p>You place an illusion on a creature or an object you touch so that divination spells reveal false information about it. The target can be a willing creature or an object that isn’t being carried or worn by another creature.<br /> When you cast the spell, choose one or both of the following effects. The effect lasts for the duration. If you cast this spell on the same creature or object every day for 30 days, placing the same effect on it each time, the illusion lasts until it is dispelled.</p><p><strong>False Aura.</strong> You change the way the target appears to spells and magical effects, such as detect magic, that detect magical auras. You can make a nonmagical object appear magical, a magical object appear nonmagical, or change the object’s magical aura so that it appears to belong to a specific school of magic that you choose. When you use this effect on an object, you can make the false magic apparent to any creature that handles the item.</p><p><strong>Mask.</strong> You change the way the target appears to spells and magical effects that detect creature types, such as a paladin’s Divine Sense or the trigger of a symbol spell. You choose a creature type and other spells and magical effects treat the target as if it were a creature of that type or of that alignment.</p> ",,,Rapazeada,action,1,,hour,24,,,,,,touch,0,0,,,,,,,0,,,,,,,spell,2,ill,,true,true,true,false,false,a small square of silk,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Nondetection,spell,"<p>For the duration, you hide a target that you touch from divination magic. The target can be a willing creature or a place or an object no larger than 10 feet in any dimension. The target can’t be targeted by any divination magic or perceived through magical scrying sensors.</p> ",,,Rapazeada,action,1,,hour,8,,,,,,touch,0,0,,,,,,,0,,,,,,,spell,3,abj,,true,true,true,false,false,"a pinch of diamond dust worth 25 gp sprinkled over the target, which the spell consumes",true,25,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Negative Energy Flood,spell,"<p>You send ribbons of negative energy at one creature you can see within range. Unless the target is undead, it must make a Constitution saving throw, taking 5d12 necrotic damage on a failed save, or half as much damage on a successful one. A target killed by this damage rises up as a zombie at the start of your next turn. The zombie pursues whatever creature it can see that is closest to it. Statistics for the zombie are in the Monster Manual.</p><p>If you target an undead with this spell, the target doesn’t make a saving throw. Instead, roll 5d12. The target gains half the total as temporary hit points.</p> ",,,Rapazeada,action,1,,inst,,,,,18,,ft,0,0,,,,,,,0,,,,,,,spell,5,nec,,true,false,true,false,false,a broken bone and a square of black silk,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Move Earth,spell,"<p>Choose an area of terrain no larger than 40 feet on a side within range. You can reshape dirt, sand, or clay in the area in any manner you choose for the duration. You can raise or lower the area’s elevation, create or fill in a trench, erect or flatten a wall, or form a pillar. The extent of any such changes can’t exceed half the area’s largest dimension. So, if you affect a 40-foot square, you can create a pillar up to 20 feet high, raise or lower the square’s elevation by up to 20 feet, dig a trench up to 20 feet deep, and so on. It takes 10 minutes for these changes to complete.</p><p>At the end of every 10 minutes you spend concentrating on the spell, you can choose a new area of terrain to affect.</p><p>Because the terrain’s transformation occurs slowly, creatures in the area can’t usually be trapped or injured by the ground’s movement.</p><p>This spell can’t manipulate natural stone or stone construction. Rocks and structures shift to accommodate the new terrain. If the way you shape the terrain would make a structure unstable, it might collapse.</p><p>Similarly, this spell doesn’t directly affect plant growth. The moved earth carries any plants along with it.</p> ",,,Rapazeada,action,1,,hour,2,,,,36,,ft,0,0,,,,,,,0,,,,,,,spell,6,trs,,true,true,true,false,true,"an iron blade and a small bag containing a mixture of soils--clay, loam, and sand",false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Motivational Speech,spell,"<p>You address allies, staff, or innocent bystanders to exhort and inspire them to greatness, whether they have anything to get excited about or not. Choose up to five creatures within range that can hear you. For the duration, each affected creature gains 5 temporary hit points and has advantage on Wisdom saving throws. If an affected creature is hit by an attack, it has advantage on the next attack roll it makes. Once an affected creature loses the temporary hit points granted by this spell, the spell ends for that creature.</p> ",,,Rapazeada,minute,1,,hour,1,,,,18,,ft,0,0,,,,,,,0,,,,,,,spell,3,enc,,true,false,false,false,false,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Arcane Sword,spell,"<p>You create a sword-shaped plane of force that hovers within range. It lasts for the duration.</p><p>When the sword appears, you make a melee spell attack against a target of your choice within 5 feet of the sword. On a hit, the target takes 3d10 force damage. Until the spell ends, you can use a bonus action on each of your turns to move the sword up to 20 feet to a spot you can see and repeat this attack against the same target or a different one.</p> ",,,Rapazeada,action,1,,minute,1,,,,18,,ft,0,0,,,,,,,0,,,,,,,spell,7,evo,,true,true,true,false,true,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Mordekainen’s Sword,spell,"<p>You create a sword-shaped plane of force that hovers within range. It lasts for the duration.</p><p>When the sword appears, you make a melee spell attack against a target of your choice within 5 feet of the sword. On a hit, the target takes 3d10 force damage. Until the spell ends, you can use a bonus action on each of your turns to move the sword up to 20 feet to a spot you can see and repeat this attack against the same target or a different one.</p> ",,,Rapazeada,action,1,,minute,1,,,,18,,ft,0,0,,,,,,,0,,,,,,,spell,7,evo,,true,true,true,false,true,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Private Sanctum,spell,"<p>You make an area within range magically secure. The area is a cube that can be as small as 5 feet to as large as 100 feet on each side. The spell lasts for the duration or until you use an action to dismiss it.</p><p>When you cast the spell, you decide what sort of security the spell provides, choosing any or all of the following properties:</p><ul><li>Sound can’t pass through the barrier at the edge of the warded area.</li><li>The barrier of the warded area appears dark and foggy, preventing vision (including darkvision) through it.</li><li>Sensors created by divination spells can’t appear inside the protected area or pass through the barrier at its perimeter.</li><li>Creatures in the area can’t be targeted by divination spells.</li><li>Nothing can teleport into or out of the warded area.</li><li>Planar travel is blocked within the warded area.</li></ul><p>Casting this spell on the same spot every day for a year makes this effect permanent.</p> ",,,Rapazeada,minute,10,,hour,24,,,,36,,ft,0,0,,,,,,,0,,,,,,,spell,4,abj,,true,true,true,false,false,"a thin sheet of lead, a piece of opaque glass, a wad of cotton or cloth, and powdered chrysolite",false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Mordekainen’s Private Sanctum,spell,"<p>You make an area within range magically secure. The area is a cube that can be as small as 5 feet to as large as 100 feet on each side. The spell lasts for the duration or until you use an action to dismiss it.</p><p>When you cast the spell, you decide what sort of security the spell provides, choosing any or all of the following properties:</p><ul><li>Sound can’t pass through the barrier at the edge of the warded area.</li><li>The barrier of the warded area appears dark and foggy, preventing vision (including darkvision) through it.</li><li>Sensors created by divination spells can’t appear inside the protected area or pass through the barrier at its perimeter.</li><li>Creatures in the area can’t be targeted by divination spells.</li><li>Nothing can teleport into or out of the warded area.</li><li>Planar travel is blocked within the warded area.</li></ul><p>Casting this spell on the same spot every day for a year makes this effect permanent.</p> ",,,Rapazeada,minute,10,,hour,24,,,,36,,ft,0,0,,,,,,,0,,,,,,,spell,4,abj,,true,true,true,false,false,"a thin sheet of lead, a piece of opaque glass, a wad of cotton or cloth, and powdered chrysolite",false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Moonbeam,spell,"<p>A silvery beam of pale light shines down in a 5-foot-radius, 40-foot-high cylinder centered on a point within range. Until the spell ends, dim light fills the cylinder.</p><p>When a creature enters the spell’s area for the first time on a turn or starts its turn there, it is engulfed in ghostly flames that cause searing pain, and it must make a Constitution saving throw. It takes 2d10 radiant damage on a failed save, or half as much damage on a successful one.</p><p>A shapechanger makes its saving throw with disadvantage. If it fails, it also instantly reverts to its original form and can’t assume a different form until it leaves the spell’s light.</p><p>On each of your turns after you cast this spell, you can use an action to move the beam up to 60 feet in any direction.</p> ",,,Rapazeada,action,1,,minute,1,,,,36,,ft,0,0,,,,,,,0,,,,,,,spell,2,evo,,true,true,true,false,true,several seeds of any moonseed plant and a piece of opalescent feldspar,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Mold Earth,spell,"<p>You choose a portion of dirt or stone that you can see within range and that fits within a 5-foot cube. You manipulate it in one of the following ways:</p><ul><li>If you target an area of loose earth, you can instantaneously excavate it, move it along the ground, and deposit it up to 5 feet away. This movement doesn’t have enough force to cause damage.</li><li>You cause shapes, colors, or both to appear on the dirt or stone, spelling out words, creating images, or shaping patterns. The changes last for 1 hour.</li><li>If the dirt or stone you target is on the ground, you cause it to become difficult terrain. Alternatively, you can cause the ground to become normal terrain if it is already difficult terrain. This change lasts for 1 hour.</li></ul><p>If you cast this spell multiple times, you can have no more than two of its non-instantaneous effects active at a time, and you can dismiss such an effect as an action.</p> ",,,Rapazeada,action,1,,inst,,,,,9,,ft,0,0,,,,,,,0,,,,,,,spell,0,trs,,false,true,false,false,false,,false,0,,prepared,true,cantrip,,assets/Icons/Trade/EssenceEternalSmall.png
Modify Memory,spell,"<p>You attempt to reshape another creature’s memories. One creature that you can see must make a Wisdom saving throw. If you are fighting the creature, it has advantage on the saving throw. On a failed save, the target becomes charmed by you for the duration. The charmed target is incapacitated and unaware of its surroundings, though it can still hear you. If it takes any damage or is targeted by another spell, this spell ends, and none of the target’s memories are modified.</p><p>While this charm lasts, you can affect the target’s memory of an event that it experienced within the last 24 hours and that lasted no more than 10 minutes. You can permanently eliminate all memory of the event, allow the target to recall the event with perfect clarity and exacting detail, change its memory of the details of the event, or create a memory of some other event.</p><p>You must speak to the target to describe how its memories are affected, and it must be able to understand your language for the modified memories to take root. Its mind fills in any gaps in the details of your description. If the spell ends before you have finished describing the modified memories, the creature’s memory isn’t altered. Otherwise, the modified memories take hold when the spell ends.</p><p>A modified memory doesn’t necessarily affect how a creature behaves, particularly if the memory contradicts the creature’s natural inclinations, alignment, or beliefs. An illogical modified memory, such as implanting a memory of how much the creature enjoyed dousing itself in acid, is dismissed, perhaps as a bad dream. The GM might deem a modified memory too nonsensical to affect a creature in a significant manner.</p><p>A remove curse or greater restoration spell cast on the target restores the creature’s true memory.</p> ",,,Rapazeada,action,1,,minute,1,,,,9,,ft,0,0,,,,,,,0,,,,,,,spell,5,enc,,true,true,false,false,true,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Misty Step,spell,"<p>Briefly surrounded by silvery mist, you teleport up to 30 feet to an unoccupied space that you can see.</p> ",,,Rapazeada,bonus,1,,inst,,,,,,,self,0,0,,,,,,,0,,,,,,,spell,2,con,,true,false,false,false,false,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Mislead,spell,"<p>You become invisible at the same time that an illusory double of you appears where you are standing. The double lasts for the duration, but the invisibility ends if you attack or cast a spell.</p><p>You can use your action to move your illusory double up to twice your speed and make it gesture, speak, and behave in whatever way you choose.</p><p>You can see through its eyes and hear through its ears as if you were located where it is. On each of your turns as a bonus action, you can switch from using its senses to using your own, or back again. While you are using its senses, you are blinded and deafened in regard to your own surroundings.</p> ",,,Rapazeada,action,1,,hour,1,,,,,,self,0,0,,,,,,,0,,,,,,,spell,5,ill,,false,true,false,false,true,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Mirror Image,spell,"<p>Three illusory duplicates of yourself appear in your space. Until the spell ends, the duplicates move with you and mimic your actions, shifting position so it’s impossible to track which image is real. You can use your action to dismiss the illusory duplicates.</p><p>Each time a creature targets you with an attack during the spell’s duration, roll a d20 to determine whether the attack instead targets one of your duplicates.</p><p>If you have three duplicates, you must roll a 6 or higher to change the attack’s target to a duplicate. With two duplicates, you must roll an 8 or higher. With one duplicate, you must roll an 11 or higher.</p><p>A duplicate’s AC equals 10 + your Dexterity modifier. If an attack hits a duplicate, the duplicate is destroyed. A duplicate can be destroyed only by an attack that hits it. It ignores all other damage and effects. The spell ends when all three duplicates are destroyed.</p><p>A creature is unaffected by this spell if it can’t see, if it relies on senses other than sight, such as blindsight, or if it can perceive illusions as false, as with truesight.</p> ",,,Rapazeada,action,1,,minute,1,,,,,,self,0,0,,,,,,,0,,,,,,,spell,2,ill,,true,true,false,false,false,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Mirage Arcane,spell,"<p>You make terrain in an area up to 1 mile square look, sound, smell, and even feel like some other sort of terrain. The terrain’s general shape remains the same, however. Open fields or a road could be made to resemble a swamp, hill, crevasse, or some other difficult or impassable terrain. A pond can be made to seem like a grassy meadow, a precipice like a gentle slope, or a rock-strewn gully like a wide and smooth road.</p><p>Similarly, you can alter the appearance of structures, or add them where none are present. The spell doesn’t disguise, conceal, or add creatures.</p><p>The illusion includes audible, visual, tactile, and olfactory elements, so it can turn clear ground into difficult terrain (or vice versa) or otherwise impede movement through the area. Any piece of the illusory terrain (such as a rock or stick) that is removed from the spell’s area disappears immediately.</p><p>Creatures with truesight can see through the illusion to the terrain’s true form; however, all other elements of the illusion remain, so while the creature is aware of the illusion’s presence, the creature can still physically interact with the illusion.</p> ",,,Rapazeada,minute,10,,day,10,,,,,,special,0,0,,,,,,,0,,,,,,,spell,7,ill,,true,true,false,false,false,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Minor Illusion,spell,"<p>You create a sound or an image of an object within range that lasts for the duration. The illusion also ends if you dismiss it as an action or cast this spell again.</p><p>If you create a sound, its volume can range from a whisper to a scream. It can be your voice, someone else’s voice, a lion’s roar, a beating of drums, or any other sound you choose. The sound continues unabated throughout the duration, or you can make discrete sounds at different times before the spell ends.</p><p>If you create an image of an object–such as a chair, muddy footprints, or a small chest–it must be no larger than a 5-foot cube. The image can’t create sound, light, smell, or any other sensory effect. Physical interaction with the image reveals it to be an illusion, because things can pass through it.</p><p>If a creature uses its action to examine the sound or image, the creature can determine that it is an illusion with a successful Intelligence (Investigation) check against your spell save DC. If a creature discerns the illusion for what it is, the illusion becomes faint to the creature.</p> ",,,Rapazeada,action,1,,minute,1,,,,9,,ft,0,0,,,,,,,0,,,,,,,spell,0,ill,,false,true,true,false,false,a bit of fleece,false,0,,prepared,true,cantrip,,assets/Icons/Trade/EssenceEternalSmall.png
Mind Spike,spell,"<p>You reach into the mind of one creature you can see within range. The target must make a Wisdom saving throw, taking 3d8 psychic damage on a failed save, or half as much damage on a successful one. On a failed save, you also always know the target’s location until the spell ends, but only while the two of you are on the same plane of existence. While you have this knowledge, the target can’t become hidden from you, and if it’s invisible, it gains no benefit from that condition against you.</p> ",,,Rapazeada,action,1,,hour,1,,,,18,,ft,0,0,,,,,,,0,,,,,,,spell,2,div,,false,true,false,false,true,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Mind Blank,spell,"<p>Until the spell ends, one willing creature you touch is immune to psychic damage, any effect that would sense its emotions or read its thoughts, divination spells, and the charmed condition. The spell even foils wish spells and spells or effects of similar power used to affect the target’s mind or to gain information about the target.</p> ",,,Rapazeada,action,1,,hour,24,,,,,,touch,0,0,,,,,,,0,,,,,,,spell,8,abj,,true,true,false,false,false,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Mighty Fortress,spell,"<p>A fortress of stone erupts from a square area of ground of your choice that you can see within range. The area is 120 feet on each side, and it must not have any buildings or other structures on it. Any creatures in the area are harmlessly lifted up as the fortress rises.</p><p>The fortress has four turrets with square bases, each one 20 feet on a side and 30 feet tall, with one turret on each corner. The turrets are connected to each other by stone walls that are each 80 feet long, creating an enclosed area. Each wall is 1 foot thick and is composed of panels that are 10 feet wide and 20 feet tall. Each panel is contiguous with two other panels or one other panel and a turret. You can place up to four stone doors in the fortress’s outer wall.</p><p>A small keep stands inside the enclosed area. The keep has a square base that is 50 feet on each side, and it has three floors with 10-foot-high ceilings. Each of the floors can be divided into as many rooms as you like, provided each room is at least 5 feet on each side. The floors of the keep are connected by stone staircases, its walls are 6 inches thick, and interior rooms can have stone doors or open archways as you choose. The keep is furnished and decorated however you like, and it contains sufficient food to serve a nine-course banquet for up to 100 people each day. Furnishings, food, and other objects created by this spell crumble to dust if removed from the fortress.</p><p>A staff of one hundred invisible servants obeys any command given to them by creatures you designate when you cast the spell. Each servant functions as if created by the unseen servant spell.</p><p>The walls, turrets, and keep are all made of stone that can be damaged. Each 10-foot-by-10-foot section of stone has AC 15 and 30 hit points per inch of thickness. It is immune to poison and psychic damage. Reducing a section of stone to 0 hit points destroys it and might cause connected sections to buckle and collapse at the DM’s discretion.</p><p>After 7 days or when you cast this spell somewhere else, the fortress harmlessly crumbles and sinks back into the ground, leaving any creatures that were inside it safely on the ground.</p><p>Casting this spell on the same spot once every 7 days for a year makes the fortress permanent.</p> ",,,Rapazeada,minute,1,,inst,,,,,1.6,,mi,0,0,,,,,,,0,,,,,,,spell,8,con,,true,true,true,false,false,"a diamond worth at least 500 gp, which the spell consumes",true,500,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Meteor Swarm,spell,"<p>Blazing orbs of fire plummet to the ground at four different points you can see within range. Each creature in a 40-foot-radius sphere centered on each point you choose must make a Dexterity saving throw. The sphere spreads around corners. A creature takes 20d6 fire damage and 20d6 bludgeoning damage on a failed save, or half as much damage on a successful one. A creature in the area of more than one fiery burst is affected only once.</p><p>The spell damages objects in the area and ignites flammable objects that aren’t being worn or carried.</p> ",,,Rapazeada,action,1,,inst,,,,,1.6,,mi,0,0,,,,,,,0,,,,,,,spell,9,evo,,true,true,false,false,false,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Message,spell,"<p>You point your finger toward a creature within range and whisper a message. The target (and only the target) hears the message and can reply in a whisper that only you can hear.</p><p>You can cast this spell through solid objects if you are familiar with the target and know it is beyond the barrier. Magical silence, 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood blocks the spell. The spell doesn’t have to follow a straight line and can travel freely around corners or through openings.</p> ",,,Rapazeada,action,1,,round,1,,,,36,,ft,0,0,,,,,,,0,,,,,,,spell,0,trs,,true,true,true,false,false,a short piece of copper wire,false,0,,prepared,true,cantrip,,assets/Icons/Trade/EssenceEternalSmall.png
Mental Prison,spell,"<p>You attempt to bind a creature within an illusory cell that only it perceives. One creature you can see within range must make an Intelligence saving throw. The target succeeds automatically if it is immune to being charmed. On a successful save, the target takes 5d10 psychic damage, and the spell ends. On a failed save, the target takes 5d10 psychic damage, and you make the area immediately around the target’s space appear dangerous to it in some way. You might cause the target to perceive itself as being surrounded by fire, floating razors, or hideous maws filled with dripping teeth. Whatever form the illusion takes, the target can’t see or hear anything beyond it and is restrained for the spell’s duration. If the target is moved out of the illusion, makes a melee attack through it, or reaches any part of its body through it, the target takes 10d10 psychic damage, and the spell ends.</p> ",,,Rapazeada,action,1,,minute,1,,,,18,,ft,0,0,,,,,,,0,,,,,,,spell,6,ill,,false,true,false,false,true,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Mending,spell,"<p>This spell repairs a single break or tear in an object you touch, such as a broken chain link, two halves of a broken key, a torn cloak, or a leaking wineskin. As long as the break or tear is no larger than 1 foot in any dimension, you mend it, leaving no trace of the former damage.</p><p>This spell can physically repair a magic item or construct, but the spell can’t restore magic to such an object.</p> ",,,Rapazeada,minute,1,,inst,,,,,,,touch,0,0,,,,,,,0,,,,,,,spell,0,trs,,true,true,true,false,false,two lodestones,false,0,,prepared,true,cantrip,,assets/Icons/Trade/EssenceEternalSmall.png
Melf’s Minute Meteor,spell,"<p>You create six tiny meteors in your space. They float in the air and orbit you for the spell’s duration. When you cast the spell — and as a bonus action on each of your turns thereafter — you can expend one or two of the meteors, sending them streaking toward a point or points you choose within 120 feet of you. Once a meteor reaches its destination or impacts against a solid surface, the meteor explodes. Each creature within 5 feet of the point where the meteor explodes must make a Dexterity saving throw. A creature takes 2d6 fire damage on a failed save, or half as much damage on a successful one.</p> ",,,Rapazeada,action,1,,minute,10,,,,,,self,0,0,,,,,,,0,,,,,,,spell,3,evo,,true,true,true,false,true,"niter, sulfur, and pine tar formed into a bead",false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Melf’s Acid Arrow,spell,"<p>A shimmering green arrow streaks toward a target within range and bursts in a spray of acid. Make a ranged spell attack against the target. On a hit, the target takes 4d4 acid damage immediately and 2d4 acid damage at the end of its next turn. On a miss, the arrow splashes the target with acid for half as much of the initial damage and no damage at the end of its next turn.</p> ",,,Rapazeada,action,1,,inst,,,,,27,,ft,0,0,,,,,,,0,,,,,,,spell,2,evo,,true,true,true,false,false,powdered rhubarb leaf and an adder’s stomach,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Meld into Stone,spell,"<p>You step into a stone object or surface large enough to fully contain your body, melding yourself and all the equipment you carry with the stone for the duration. Using your movement, you step into the stone at a point you can touch. Nothing of your presence remains visible or otherwise detectable by nonmagical senses.</p><p>While merged with the stone, you can’t see what occurs outside it, and any Wisdom (Perception) checks you make to hear sounds outside it are made with disadvantage. You remain aware of the passage of time and can cast spells on yourself while merged in the stone. You can use your movement to leave the stone where you entered it, which ends the spell. You otherwise can’t move.</p><p>Minor physical damage to the stone doesn’t harm you, but its partial destruction or a change in its shape (to the extent that you no longer fit within it) expels you and deals 6d6 bludgeoning damage to you. The stone’s complete destruction (or transmutation into a different substance) expels you and deals 50 bludgeoning damage to you. If expelled, you fall prone in an unoccupied space closest to where you first entered.</p> ",,,Rapazeada,action,1,,hour,8,,,,,,touch,0,0,,,,,,,0,,,,,,,spell,3,trs,,true,true,false,true,false,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Maze,spell,"<p>You banish a creature that you can see within range into a labyrinthine demiplane. The target remains there for the duration or until it escapes the maze.</p><p>The target can use its action to attempt to escape. When it does so, it makes a DC 20 Intelligence check. If it succeeds, it escapes, and the spell ends (a minotaur or goristro demon automatically succeeds).</p><p>When the spell ends, the target reappears in the space it left or, if that space is occupied, in the nearest unoccupied space.</p> ",,,Rapazeada,action,1,,minute,10,,,,18,,ft,0,0,,,,,,,0,,,,,,,spell,8,con,,true,true,false,false,true,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Maximilian’s Earthen Grasp,spell,"<p>You choose a 5-foot-square unoccupied space on the ground that you can see within range. A Medium hand made from compacted soil rises there and reaches for one creature you can see within 5 feet of it. The target must make a Strength saving throw. On a failed save, the target takes 2d6 bludgeoning damage and is restrained for the spell’s duration.</p><p>As an action, you can cause the hand to crush the restrained target, who must make a Strength saving throw. It takes 2d6 bludgeoning damage on a failed save, or half as much damage on a successful one.</p><p>To break out, the restrained target can use its action to make a Strength check against your spell save DC. On a success, the target escapes and is no longer restrained by the hand.</p><p>As an action, you can cause the hand to reach for a different creature or to move to a different unoccupied space within range. The hand releases a restrained target if you do either.</p> ",,,Rapazeada,action,1,,minute,1,,,,9,,ft,0,0,,,,,,,0,,,,,,,spell,2,trs,,true,true,true,false,true,a miniature hand sculpted from clay,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Mass Suggestion,spell,"<p>You suggest a course of activity (limited to a sentence or two) and magically influence up to twelve creatures of your choice that you can see within range and that can hear and understand you. Creatures that can’t be charmed are immune to this effect. The suggestion must be worded in such a manner as to make the course of action sound reasonable. Asking the creature to stab itself, throw itself onto a spear, immolate itself, or do some other obviously harmful act automatically negates the effect of the spell.</p><p>Each target must make a Wisdom saving throw. On a failed save, it pursues the course of action you described to the best of its ability. The suggested course of action can continue for the entire duration. If the suggested activity can be completed in a shorter time, the spell ends when the subject finishes what it was asked to do.</p><p>You can also specify conditions that will trigger a special activity during the duration. For example, you might suggest that a group of soldiers give all their money to the first beggar they meet. If the condition isn’t met before the spell ends, the activity isn’t performed.</p><p>If you or any of your companions damage a creature affected by this spell, the spell ends for that creature.</p> ",,,Rapazeada,action,1,,hour,24,,,,18,,ft,0,0,,,,,,,0,,,,,,,spell,6,enc,,true,false,true,false,false,a snake's tongue and either a bit of honeycomb or a drop of sweet oil,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Mass Polymorph,spell,"<p>You transform up to ten creatures of your choice that you can see within range. An unwilling target must succeed on a Wisdom saving throw to resist the transformation. An unwilling shapechanger automatically succeeds on the save.</p><p>Each target assumes a beast form of your choice, and you can choose the same form or different ones for each target. The new form can be any beast you have seen whose challenge rating is equal to or less than the target’s (or half the target’s level, if the target doesn’t have a challenge rating). The target’s game statistics, including mental ability scores, are replaced by the statistics of the chosen beast, but the target retains its hit points, alignment, and personality.</p><p>Each target gains a number of temporary hit points equal to the hit points of its new form. These temporary hit points can’t be replaced by temporary hit points from another source. A target reverts to its normal form when it has no more temporary hit points or it dies. If the spell ends before then, the creature loses all its temporary hit points and reverts to its normal form.</p><p>The creature is limited in the actions it can perform by the nature of its new form. It can’t speak, cast spells, or do anything else that requires hands or speech.</p><p>The target’s gear melds into the new form. The target can’t activate, use, wield, or otherwise benefit from any of its equipment.</p> ",,,Rapazeada,action,1,,hour,1,,,,36,,ft,0,0,,,,,,,0,,,,,,,spell,9,trs,,true,true,true,false,true,a caterpillar cocoon,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Mass Healing Word,spell,"<p>As you call out words of restoration, up to six creatures of your choice that you can see within range regain hit points equal to 1d4 + your spellcasting ability modifier. This spell has no effect on undead or constructs.</p> ",,,Rapazeada,bonus,1,,inst,,,,,18,,ft,0,0,,,,,,,0,,,,,,,spell,3,evo,,true,false,false,false,false,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Mass Heal,spell,"<p>A flood of healing energy flows from you into injured creatures around you. You restore up to 700 hit points, divided as you choose among any number of creatures that you can see within range. Creatures healed by this spell are also cured of all diseases and any effect making them blinded or deafened. This spell has no effect on undead or constructs.</p> ",,,Rapazeada,action,1,,inst,,,,,18,,ft,0,0,,,,,,,0,,,,,,,spell,9,evo,,true,true,false,false,false,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Mass Cure Wounds,spell,<p>A wave of healing energy washes out from a point of your choice within range. Choose up to six creatures in a 30-foot-radius sphere centered on that point. Each target regains hit points equal to 3d8 + your spellcasting ability modifier. This spell has no effect on undead or constructs.</p> ,,,Rapazeada,action,1,,inst,,,,,18,,ft,0,0,,,,,,,0,,,,,,,spell,5,evo,,true,true,false,false,false,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
