Name,CR,XP,Race,Class1,Class1_Lvl,Class2,Class2_Lvl,Alignment,Size,Type,subtype1,subtype2,subtype3,subtype4,subtype5,subtype6,AC,AC_Touch,AC_Flat-footed,HP,HD,Fort,Ref,Will,Melee,Ranged,Space,Reach,Str,Dex,Con,Int,Wis,Cha,Feats,Skills,RacialMods,Languages,SQ,Environment,Organization,Treasure,Group,Gear,OtherGear,CharacterFlag,CompanionFlag,Speed,Base_Speed,Fly_Speed,Maneuverability,Climb_Speed,Swim_Speed,Burrow_Speed,Speed_Special,Speed_Land,Fly,Climb,Burrow,Swim,VariantParent,ClassArchetypes,CompanionFamiliarLink,AlternateNameForm,id,UniqueMonster,MR,Mythic,MT,Source,,
Adult Green Dragon,12,"19,2",,,,,,LE,Huge,dragon,air,,,,,,27,8,27,172,15d12+75,14,9,14,"bite +21 (2d8+12/19-20), 2 claws +21 (2d6+8/19-20), 2 wings +16 (1d8+4), tail slap +16 (2d6+12)",,15,10 (15 with bite),27,10,21,16,17,16,"Alertness, Cleave, Flyby Attack, Great Cleave, Improved Critical (bite, claws), Iron Will, Power Attack","Fly +10, Knowledge (arcane) +21, Knowledge (nature) +21, Perception +25, Spellcraft +21, Stealth +10, Survival +21, Swim +34, Use Magic Device +21",,"Common, Draconic, Elven, Sylvan","trackless step, water breathing, woodland stride",temperate forests,solitary,triple,Chromatic Dragon,,,0,0,"40 ft., fly 200 ft. (poor), swim 40 ft.",40,200,poor,,40,,,1,1,0,0,1,,,NULL,,120,0,0,0,0,PFRPG Bestiary,,
Adult Lunar Dragon,13,"25,6",,,,,,CN,Huge,dragon,,,,,,,28,7,28,200,16d12+96,15,9,16,"bite +22 (2d8+12), 2 claws +22 (2d6+8), 2 wings +20 (2d6+4), tail slap +20 (2d8+12)",,15,10 (15 with bite),27,9,20,20,22,21,"Arcane Strike, Dazing Assault, Flyby Attack, Improved Initiative, Multiattack, Power Attack, Toughness, Wingover","Bluff +12, Diplomacy +24, Fly +10, Intimidate +24, Knowledge (arcana, geography, history, local, nature) +20, Perception +25, Sense Motive +25, Spellcraft +24, Use Magic Device +24",,"Aklo, Aquan, Auran, Common, Draconic, Ignan","no breath, starflight",vacuum,solitary,triple,Outer Dragon,,,0,0,"40 ft., burrow 20 ft., fly 200 ft. (poor)",40,200,,,,,,1,1,0,1,0,,,NULL,,5183,0,0,0,0,PFRPG Bestiary 4,,
Adult Magma Dragon,12,"19,2",,,,,,CN,Large,dragon,extraplanar,fire,,,,,29,10,28,172,15d12+75,16,10,15,"bite +22 (2d6+12/19-20 plus 6 fire), 2 claws +22 (1d8+8/19-20), tail slap +17 (1d8+12), 2 wings +17 (1d6+4)",,10,5 (10 with bite),27,12,21,18,18,17,"Great Fortitude, Improved Critical (bite), Improved Critical (claws), Improved Initiative, Improved Vital Strike, Iron Will, Power Attack, Vital Strike","Acrobatics +16 (+20 jump), Climb +26, Escape Artist +16, Fly +13, Intimidate +21, Perception +22, Sense Motive +22, Sleight of Hand +16, Stealth +15, Swim +26",,"Common, Draconic, Dwarven, Elven, Ignan",superheated,any mountains or underground (Plane of Fire),solitary,triple,Primal Dragon,,,0,0,"40 ft., fly 200 ft. (poor)",40,200,,,,,,1,1,0,0,0,,,NULL,,1180,0,0,0,0,PFRPG Bestiary 2,,
Adult Mist Dragon,11,"12,8",,,,,,N,Huge,dragon,air,fire,water,,,,28,8,28,184,16d12+80,17,10,15,"bite +22 (2d8+12), 2 claws +22 (2d6+8), 2 wings +20 (1d8+4), tail slap +20 (2d6+12)",,15,10 (15 with bite),27,10,21,20,21,20,"Alertness, Combat Expertise, Flyby Attack, Great Fortitude, Hover, Improved Initiative, Multiattack, Wingover","Bluff +24, Diplomacy +24, Fly +11, Knowledge (arcana) +24, Knowledge (history) +24, Knowledge (nature) +24, Perception +28, Sense Motive +28, Spellcraft +24, Swim +35, Use Magic Device +24",,"Auran, Aquan, Celestial, Common, Draconic, Ignan, Sylvan","mist form, water breathing",temperate and warm forests and aquatic,solitary or clan (2-5),triple standard,Dragon,,,0,0,"40 ft., fly 200 ft. (poor), swim 20 ft.",40,,poor,,,,,1,1,0,0,1,,,NULL,,2534,0,0,0,0,Tome of Horrors Complete,,
Adult Red Dragon,14,"38,4",,,,,,CE,Huge,dragon,fire,,,,,,29,8,29,212,17d12+102,16,10,15,"bite +25 (2d8+15), 2 claws +25 (2d6+10), 2 wings +23 (1d8+5), tail slap +23 (2d6+15)",,15,10 (15 with bite),31,10,23,16,17,16,"Cleave, Greater Vital Strike, Improved Initiative, Improved Iron Will, Improved Vital Strike, Iron Will, Multiattack, Power Attack, Vital Strike","Appraise +23, Bluff +23, Fly +12, Intimidate +23, Knowl. (arcana) +23, Perception +23, Sense Motive +23, Spellcraft +23, Stealth +12",,"Common, Draconic, Dwarven, Orc",,warm mountains,solitary,triple,Chromatic Dragon,,,0,0,"40 ft., fly 200 ft. (poor)",40,200,poor,,,,,1,1,0,0,0,,,NULL,,123,0,0,0,0,PFRPG Bestiary,,
Adult Sea Dragon,12,"19,2",,,,,,CG,Huge,dragon,water,,,,,,28,8,28,172,15d12+75,16,11,14,"bite +22 (2d8+12), 2 claws +22 (2d6+8), gore +21 (2d6+12), tail slap +19 (2d6+12)",,15,10 (15 with bite and gore),27,10,21,20,21,20,"Alertness, Great Fortitude, Improved Initiative, Lightning Reflexes, Lunge, Multiattack, Weapon Focus (bite and claw)","Diplomacy +23, Fly +10, Intimidate +23, Knowledge (arcana) +23, Knowledge (geography) +23, Knowledge (nature) +23, Perception +27, Sense Motive +27, Stealth +10, Survival +23, Swim +34",,"Aquan, Auran, Celestial, Common, Draconic, Elven","change shape, unfettered swimmer, water breathing",any water,solitary,triple,Imperial Dragon,,,0,0,"40 ft., fly 200 ft. (poor), swim 80 ft.",40,,poor,,,,,1,1,0,0,1,,,NULL,,2040,0,0,0,0,PFRPG Bestiary 3,,
Adult Silver Dragon,14,"38,4",,,,,,LG,Huge,dragon,cold,,,,,,29,8,29,195,17d12+85,15,12,17,"bite +24 (2d8+12), 2 claws +23 (2d6+8), 2 wings +21 (1d8+4), tail slap +21 (2d6+12)",,15,10 (15 with bite),27,10,21,20,21,20,"Flyby Attack, Hover, Improved Initiative, Iron Will, Lighting Reflexes, Multiattack, Power Attack, Vital Strike, Weapon Focus (bite)","Acrobatics +17, Diplomacy +25, Fly +16, Heal +25, Intimidate +25, Knowledge (arcana, local, nobility) +25, Perception +25, Sense Motive +25, Spellcraft +25",,"Auran, Common, Draconic, Dwarven, Giant, Terran",change shape,temperate mountains,solitary,triple,Metallic Dragon,,,0,0,"40 ft., fly 200 ft. (average)",40,200,average,,,,,1,1,0,0,0,,,NULL,,141,0,0,0,0,PFRPG Bestiary,,
Adult Sky Dragon,13,"25,6",,,,,,LG,Huge,dragon,air,,,,,,29,8,29,184,16d12+80,15,12,17,"bite +22 (2d8+12/19-20), 2 claws +22 (2d6+8), gore +22 (2d6+12), tail slap +20 (2d6+12)",,15,10 (15 with bite and gore),27,10,21,20,21,20,"Flyby Attack, Hover, Improved Critical (bite), Improved Initiative, Iron Will, Lightning Reflexes, Multiattack, Skill Focus (Perception)","Acrobatics +19 (+23 when jumping), Diplomacy +24, Fly +19, Heal +24, Knowledge (arcana) +24, Knowledge (geography) +24, Knowledge (religion) +24, Perception +30, Perform (sing) +24, Sense Motive +24, Spellcraft +24",,"Auran, Celestial, Common, Draconic, Infernal, Sylvan","borne aloft, change shape",temperate or warm mountains,solitary,triple,Imperial Dragon,,,0,0,"40 ft., fly 200 ft. (good)",40,,good,,,,,1,1,0,0,0,,,NULL,,2043,0,0,0,0,PFRPG Bestiary 3,,
Adult Solar Dragon,13,"25,6",,,,,,LN,Huge,dragon,fire,,,,,,28,9,27,212,17d12+102,15,13,15,"bite +24 (2d8+13), 2 claws +24 (2d6+9), tail slap +22 (2d6+13), 2 wings +22 (1d8+4)",,15,10 (15 with bite),28,13,20,19,16,21,"Improved Initiative, Iron Will, Lightning Reflexes, Multiattack, Power Attack, Quick Channel, Selective Channeling, Silent Spell, Toughness","Diplomacy +25, Fly +13, Heal +21, Knowledge (arcana) +24, Knowledge (history) +24, Knowledge (nature) +24, Knowledge (planes) +24, Knowledge (religion) +24, Linguistics +9, Perception +23, Sense Motive +23",,"Auran, Celestial, Common, Draconic, Ignan, Sylvan, Terran","no breath, starflight",vacuum,solitary,triple,Outer Dragon,,,0,0,"50 ft., fly 200 ft. (poor)",50,,poor,,,,,1,1,0,0,0,,,NULL,,5186,0,0,0,0,PFRPG Bestiary 4,,
Adult Sovereign Dragon,15,"51,2",,,,,,N,Huge,dragon,,,,,,,30,8,30,225,18d12+108,17,13,18,"bite +27 (2d8+15/19-20), 2 claws +26 (2d6+10), gore +26 (2d6+15), tail slap +24 (2d6+15)",,15,10 (15 with bite and gore),31,10,23,20,21,20,"Flyby Attack, Hover, Improved Critical (bite), Improved Initiative, Iron Will, Lightning Reflexes, Multiattack, Persuasive, Weapon Focus (bite)","Appraise +26, Bluff +26, Diplomacy +30, Fly -4, Heal +26, Intimidate +30, Knowledge (arcana) +26, Knowledge (history) +26, Knowledge (nobility) +26, Perception +26, Sense Motive +26, Spellcraft +26",,"Abyssal, Auran, Celestial, Common, Draconic, Infernal","change shape, dogmatic discordance",any mountains,solitary,triple,Imperial Dragon,,,0,0,"50 ft., fly 200 ft. (poor)",50,,poor,,,,,1,1,0,0,0,,,NULL,,2046,0,0,0,0,PFRPG Bestiary 3,,
Adult Time Dragon,15,"51,2",,,,,,N,Huge,dragon,,,,,,,28,9,27,256,19d12+133,18,12,15,"bite +28 (2d8+15), 2 claws +28 (2d6+10/19-20), 2 wings +25 (1d8+5), tail slap +25 (2d6+15)",,15,10 (15 with bite),30,13,24,19,18,19,"Cleave, Great Cleave, Improved Critical (claw), Improved Initiative, Multiattack, Power Attack, Skill Focus (Knowledge [history]), Step Up, Weapon Focus (bite), Weapon Focus (claw)","Diplomacy +26, Fly +15, Knowledge (arcana) +26, Knowledge (geography) +26, Knowledge (planes) +26, Knowledge (religion) +26, Knowledge (history) +32, Perception +26, Sense Motive +26, Spellcraft +26",,"Common, Draconic, Dwarven, Elven, Sylvan","immortal, no breath, read the threads, starflight",vacuum,solitary,triple,Outer Dragon,,,0,0,"50 ft., fly 200 ft. (poor)",50,,poor,,,,,1,1,0,0,0,,,NULL,,5189,0,0,0,0,PFRPG Bestiary 4,,
Adult Umbral Dragon,14,"38,4",,,,,,CE,Huge,dragon,extraplanar,,,,,,29,8,29,195,17d12+85,15,10,15,"bite +23 (2d8+12/19-20), 2 claws +23 (2d6+8), tail slap +21 (2d6+12), 2 wings +21 (1d8+4)",,15,10 (15 with bite),27,10,21,20,21,20,"Hover, Improved Critical (bite), Improved Initiative, Improved Vital Strike, Multiattack, Power Attack, Skill Focus (Stealth), Snatch, Vital Strike","Bluff +25, Diplomacy +25, Fly +16, Knowledge (arcana) +25, Knowledge (local) +25, Knowledge (planes) +25, Perception +25, Sense Motive +25, Spellcraft +25, Stealth + 18, Survival +25",,"Abyssal, Common, Draconic, Undercommon, 2 more","ghost bane, umbral scion",any,solitary,triple,Primal Dragon,,,0,0,"40 ft., fly 200 ft. (poor)",40,,poor,,,,,1,1,0,0,0,,,NULL,,3396,0,0,0,0,PFRPG Bestiary 2,,
Adult Underworld Dragon,11,"12,8",,,,,,LE,Large,dragon,fire,,,,,,28,9,28,161,14d12+70,14,9,12,"bite +22 (2d6+12), 2 claws +22 (1d8+8/19-20), gore +21 (1d8+12), tail slap +16 (1d8+12)",,10,5 (10 with bite and gore),27,10,21,16,17,16,"Improved Critical (claws), Improved Initiative, Improved Natural Armor, Lunge, Skill Focus (Stealth), Weapon Focus (bite, claw)","Appraise +20, Bluff +20, Climb +25, Fly +11, Intimidate +20, Knowledge (dungeoneering) +20, Knowledge (geography) +20, Perception +20, Stealth +19",,"Common, Draconic, Ignan, Terran","change shape, underworld burrower",any underground,solitary,triple,Imperial Dragon,,,0,0,"40 ft., burrow 40 ft., fly 200 ft. (poor)",40,200,,,,,,1,1,0,1,0,,,NULL,,2049,0,0,0,0,PFRPG Bestiary 3,,
Adult Void Dragon,13,"25,6",,,,,,NE,Huge,dragon,,,,,,,29,9,28,184,16d12+80,15,11,15,"bite +23 (2d8+12/19-20 plus obliterate), 2 claws +22 (2d6+8), 2 wings +20 (1d8+4), tail slap +20 (2d6+12)",,15,10 (15 with bite),27,12,21,20,17,20,"Flyby Attack, Hover, Improved Critical (bite), Improved Initiative, Iron Will, Multiattack, Weapon Focus (bite), Wingover","Acrobatics +17, Bluff +24, Diplomacy +18, Fly +20, Intimidate +22, Knowledge (arcana) +24, Knowledge (planes) +24, Perception +22, Sense Motive +22, Spellcraft +20, Stealth +12, Survival +14, Use Magic Device +16",,"Abyssal, Aklo, Celestial, Draconic, Ignan, Infernal","agile, no breath, starflight",vacuum,solitary,triple,Outer Dragon,,,0,0,"40 ft., fly 200 ft. (good)",40,,good,,,,,1,1,0,0,0,,,NULL,,5192,0,0,0,0,PFRPG Bestiary 4,,
Adult Vortex Dragon,14,"38,4",,,,,,LN,Huge,dragon,fire,,,,,,30,9,29,195,17d12+85,17,13,14,"bite +23 (2d8+12/19-20), 2 claws +23 (2d6+8), 2 wings +21 (1d8+4), tail slap +21 (2d6+12)",,15,10 (15 with bite),27,12,21,20,19,20,"Flyby Attack, Great Fortitude, Improved Critical (bite), Improved Initiative, Lightning Reflexes, Multiattack, Power Attack, Snatch, Wingover","Bluff +25, Diplomacy +25, Fly +21, Intimidate +25, Knowledge (arcana) +25, Knowledge (geography) +25, Knowledge (planes) +25, Knowledge (religion) +25, Perception +24, Sense Motive +24, Spellcraft +25",,"Abyssal, Auran, Celestial, Common, Draconic, Infernal","agile, galactic emissary, no breath, starflight",vacuum,solitary,triple,Outer Dragon,,,0,0,"60 ft., fly 200 ft. (good)",60,,good,,,,,1,1,0,0,0,,,NULL,,5195,0,0,0,0,PFRPG Bestiary 4,,
Adult White Dragon,10,"9,6",,,,,,CE,Large,dragon,cold,,,,,,27,10,26,149,13d12+65,13,9,10,"bite +20 (2d6+10/19-20), 2 claws +19 (1d8+7), 2 wings +14 (1d6+3), tail slap +14 (1d8+10)",,10,5 (10 with bite),25,12,21,12,15,12,"Alertness, Flyby Attack, Improved Critical (bite), Improved Initiative, Power Attack, Vital Strike, Weapon Focus (bite)","Fly +11, Intimidate +17, Knowledge (arcane) +17, Perception +22, Spellcraft +17, Stealth +13, Swim +31",,"Common, Draconic","icewalking, ice shape",cold mountains,solitary,triple,Chromatic Dragon,,,0,0,"30 ft., burrow 30 ft., fly 200 ft. (poor), swim 60 ft.",30,200,poor,,60,30,,1,1,0,1,1,,,NULL,,126,0,0,0,0,PFRPG Bestiary,,
Advodaza Devil,18,"153,6",,,,,,LE,Huge,outsider,devil,evil,extraplanar,lawful,,,35,15,28,297,18d10+198,21,18,15,"bite +28 (2d6+12), 2 claws +28 (1d8+12 plus infernal wound), 2 hooves +26 (1d8+6), tail +26 (2d6+6)",,15,15 (20 with tail),34,25,30,23,25,24,"Awesome Blow, Flyby Attack, Greater Bull Rush, Hover, Improved Bull Rush, Improved Initiative, Multiattack, Power Attack, Toughness","Bluff +28, Diplomacy +28, Escape Artist +25, Fly +24, Intimidate +28, Knowledge (arcana) +27, Knowledge (planes) +27, Knowledge (religion) +27, Perception +28, Sense Motive +28, Spellcraft +24, Stealth +20",,"Abyssal, Aklo, Celestial, Common, Draconic, Infernal; telepathy 100 ft.","devil mark, false divinity",any (Hell),solitary or pantheon (2-5),double,Devil,,,0,0,"40 ft., fly 80 ft. (average)",40,80,average,,,,,0,0,0,0,0,,,NULL,,503,0,0,0,0,AP 30,,
Aerial Servant,11,"12,8",,,,,,N,Medium,outsider,air,elemental,extraplanar,,,,24,16,18,138,12d10+72,10,14,10,2 slams +19 (2d8+6 plus grab),,5,5,23,22,23,4,10,11,"Alertness, Combat Reflexes, Improved Initiative, Iron Will, Power Attack, Weapon Focus (slam)","Fly +20, Knowledge (planes) +5, Perception +19, Stealth +20, Survival +12",+4 Survival,"Auran, Common","improved tracking, link with caster",any (Plane of Air),solitary,none,,,,0,0,"60 ft., fly 60 ft. (perfect)",60,60,perfect,,,,,1,1,0,0,0,,,NULL,,1844,0,0,0,0,Tome of Horrors Complete,,
Aerial Servant,11,"12,8",,,,,,N,Medium,outsider,elemental,air,,,,,19,15,14,152,16d10+64,11,17,10,slam +25 (2d8+12 plus grab,,5,5,26,21,18,4,10,11,"Combat Reflexes, Great Fortitude, Improved Initiative, Iron Will, Lightning Reflexes, Power Attack, Skill Focus (Perception), Weapon Focus (slam)","Intimidate +16, Perception +22, Stealth +33","+12 Stealth (invisible, as the spell, on the Elemental Plane of Air)","Auran, Common",,Elemental Plane of Air,solitary,none,,,,0,0,fly 60 ft. (perfect),,60,perfect,,,,,0,1,0,0,0,,,NULL,,971,0,0,0,0,TOH1,,
Aeshma Demon,11,"12,8",,,,,,CE,Large,outsider,chaotic,demon,evil,extraplanar,,,25,13,21,189,14d10+112,12,13,14,+1 wounding spear +21/+16/+11 (2d6+10/19-20/x3 plus 1 bleed) or 2 claws +19 (1d6+6),+1 wounding spear +19 (2d6+6/19-20/x3 plus 1 bleed),10,10,23,18,27,14,17,17,"Blind-Fight, Cleave, Great Cleave, Improved Critical (spear), Iron Will, Power Attack, Weapon Focus (spear)","Diplomacy +20, Escape Artist +18, Fly +23, Knowledge (arcana) +19, Perception +28, Spellcraft +16, Stealth +17, Survival +20",+8 Perception,"Abyssal, Celestial, Draconic; telepathy 100 ft.",,any (Abyss),solitary or troupe (1 aeshma and 1-4 vrocks),standard,Demon,+1 wounding spear,,0,0,"40 ft., fly 60 ft. (good)",40,,good,,,,,1,1,0,0,0,,,NULL,,2430,0,0,0,0,Tome of Horrors Complete,,
Afanc,17,"102,4",,,,,,N,Colossal,magical beast,aquatic,,,,,,23,3,22,333,23d10+207,22,14,11,"bite +32 (5d6+16), 2 claws +31 (2d8+16)",,100,20,42,13,28,3,15,10,"Alertness, Cleave, Diehard, Endurance, Greater Sunder, Improved Critical (bite), Improved Natural Attack (bite), Improved Sunder, Iron Will, Power Attack, Swim-By Attack, Weapon Focus (bite)","Perception +28, Swim +24",,telepathy 100 ft.,,any aquatic,solitary,incidental,,,,0,0,"5 ft., swim 60 ft.",5,,,,60,,,1,0,0,0,1,,,NULL,,1845,0,0,0,0,Tome of Horrors Complete,,
Agathion,4,"1,2",,,,,,NG,Medium,outsider,aquatic,extraplanar,good,,,,17,13,14,38,7d10,2,8,8,2 claws +10 (1d10+3),,5,5,14,17,11,14,16,9,"Agile Maneuvers, Improved Initiative, Self-Sufficient, Weapon Finesse","Bluff +9, Heal +5, Intimidate +6, Knowledge (geography) +7, Knowledge (nature) +7, Knowledge (planes) +12, Perception +11, Sense Motive +13, Stealth +12, Survival +12, Swim +10",,"Celestial, Common, Draconic, Infernal; speak with animals; truespeech","amphibious, lay on hands (3d6, 2/day, as a 7th-level paladin)",any waters (Nirvana),"solitary, pair, or contingent (6-8)",standard,Bishop,,,0,0,"30 ft., swim 60 ft.",30,,,,,,,1,0,0,0,1,,,NULL,,3352,0,0,0,0,AP 61,,
Aghash,4,"1,2",,,,,,NE,Medium,outsider,div,evil,extraplanar,,,,18,12,16,42,5d10+15,4,6,7,2 claws +8 (1d6+2),,5,5,14,15,16,13,13,18,"Alertness, Iron Will, Weapon Focus (claw)","Bluff +10, Disguise +12, Intimidate +10, Knowledge (arcana) +7, Knowledge (planes) +7, Perception +11, Sense Motive +9, Spellcraft +9, Stealth +10",,"Abyssal, Celestial, Infernal; telepathy 100 ft.",,any (Abaddon),solitary,standard,Div,,,0,0,30 ft.,30,,,,,,,1,0,0,0,0,,,NULL,,2028,0,0,0,0,PFRPG Bestiary 3,,
Aghasura,11,"12,8",,,,,,LE,Huge,outsider,asura,evil,extraplanar,lawful,,,23,11,20,161,14d10+84,15,9,11,"2 mwk scimitars +26 (2d6+12/15-20 plus poison), bite +19 (2d8+6 plus grab and poison)",,15,15,34,17,23,11,14,18,"Cleave, Critical Focus, Great Cleave, Improved Critical (scimitar), Lightning Reflexes, Power Attack, Weapon Focus (scimitar)","Acrobatics +17, Bluff +19, Escape Artist +6, Intimidate +17, Knowledge (planes) +13, Perception +19, Sense Motive +19, Stealth +9, Swim +17","+6 Escape Artist, +4 Perception","Common, Infernal; telepathy 100 ft.",,any (Hell),solitary or troop (2-9),"standard (masterwork breastplate, 2 masterwork scimitars, other treasure)",Asura,,,0,0,"35 ft., swim 20 ft.",35,,,,,,,1,0,0,0,1,,,NULL,,1973,0,0,0,0,PFRPG Bestiary 3,,
Agyra,27,"3,276,800",,,,,,CN,Colossal,magical beast,air,kaiju,,,,,45,9,38,656,32d10+480,33,25,21,"2 bites +41 (6d6+17/19-20), 2 talons +41 (3d8+17), tail slap +36 (10d6+8/19-20 plus bleed)",,50,50 (75 with tail),44,25,41,3,29,25,"Combat Reflexes, Critical Focus, Greater Bull Rush, Greater Vital Strike, Hover, Improved Bull Rush, Improved Critical (tail slap), Improved Critical (bite), Improved Initiative, Improved Iron Will, Improved Vital Strike, Iron Will, Power Attack, Staggering Critical, Vital Strike, Wingover","Fly +24, Perception +38",+16 Perception,Auran (can't speak),"massive, storm flier",warm mountains,solitary (unique),incidental,Kaiju,,,0,0,"80 ft., fly 200 ft. (average), swift flight",80,200,average,,,,swift flight,1,1,0,0,0,NULL,,NULL,,5275,0,0,0,0,PFRPG Bestiary 4,,
Ahlinni,4,"1,2",,,,,,CN,Medium,magical beast,,,,,,,17,11,16,30,4d10+8,6,5,1,bite +7 (1d8+2),,5,5,15,13,14,6,10,10,"Skill Focus (Perception), Weapon Focus (bite)","Acrobatics +5, Climb +14, Perception +7, Stealth +5 (+15 in trees)",+10 Stealth when in trees large enough to conceal it,birdsong,,temperate or cold forests and marshes,"solitary, pair, or flock (4-7)",no coins, standard goods (gems only), no items,,,,0,0,"40 ft., climb 20 ft.",40,,,20,,,,1,0,1,0,0,,,NULL,,1846,0,0,0,0,Tome of Horrors Complete
Ahuizotl,6,"2,4",,,,,,NE,Large,magical beast,aquatic,,,,,,19,12,16,68,8d10+24,9,9,4,"bite +12 (2d6+5), claw +12 (1d8+5/19-20 plus grab)",,10,5 (10 with tail),20,17,17,9,14,16,"Blinding CriticalB, Combat Reflexes, Improved Critical (claw)B, Improved Initiative, Skill Focus (Stealth), Stand Still","Bluff +9, Stealth +9, Swim +20",+6 Bluff,Common,"amphibious, tenacious grapple, voice mimicry","warm lakes, rivers, or swamps",solitary,standard,,,,0,0,"30 ft., swim 50 ft.",30,,,,50,,,1,0,0,0,1,,,NULL,,1961,0,0,0,0,PFRPG Bestiary 3,,
Air Elemental Construct,13,"25,6",,,,,,N,Huge,construct,air,elemental,extraplanar,,,,30,19,19,205,30d10+40,10,21,10,2 slams +36 (2d6+8),,15,15,27,33,0,0,11,1,,Fly +15,,,,Plane of Air,solitary,none,Elemental Construct,,,0,0,fly 100 ft. (perfect),,100,,,,,,0,1,0,0,0,,,NULL,,2574,0,0,0,0,Tome of Horrors Complete,,
Akata,1,400,,,,,,N,Medium,aberration,,,,,,,13,12,11,15,2d8+6,3,2,4,"bite +2 (1d6+1 plus void bite), 2 tentacles -3 (1d3)",,5,5,12,15,16,3,12,11,Improved Initiative,"Acrobatics +6 (+10 jump), Climb +9, Stealth +10",+4 Stealth,,hibernation,any,"solitary, pair, or pack (3-30)",standard,,,,0,0,"40 ft., climb 20 ft.",40,,,20,,,,1,0,1,0,0,,,NULL,,1092,0,0,0,0,PFRPG Bestiary 2,,
Akhana,12,"19,2",,,,,,N,Medium,outsider,aeon,extraplanar,,,,,27,18,21,148,11d10+88,17,11,14,4 claws +16 (1d4+5 plus grab),,5,5,21,23,26,16,21,18,"Combat Reflexes, Great Fortitude, Hover, Improved Initiative, Iron Will, Lightning Reflexes","Bluff +18, Fly +2, Heal +19, Intimidate +18, Knowledge (planes) +22, Knowledge (religion) +22, Perception +19, Sense Motive +19, Spellcraft +17, Stealth +20",,envisaging,"extension of all, void form",any (Outer Planes),"solitary, pair, or collective (3-6)",none,Aeon,,,0,0,"30 ft., fly 40 ft. (poor)",30,40,poor,,,,,1,1,0,0,0,,,NULL,,1081,0,0,0,0,PFRPG Bestiary 2,,
Akhlut,13,"25,6",,,,,,N,Huge,magical beast,cold,shapechanger,,,,,29,11,26,189,18d10+90,16,13,10,bite +27 (4d8+15/15-20 plus 4d6 cold and grab),,15,10,31,15,20,4,15,6,"Dodge, Improved Critical (bite), Improved Initiative, Improved Vital Strike, Iron Will, Power Attack, Skill Focus (Stealth), Vital Strike, Weapon Focus (bite)","Acrobatics +8 (+12 when jumping), Perception +14, Stealth +16 (+28 in snow), Swim +18","+4 Perception, +12 Stealth in snow",,"change shape (orca; beast shape III), hold breath, snow walking Languages Aquan (cannot speak)","cold lakes, plains, or oceans",solitary,none,,,,0,0,"40 ft., swim 60 ft.",40,,,,60,,,1,0,0,0,1,,,NULL,,1962,0,0,0,0,PFRPG Bestiary 3,,
Akvan,20,"307,2",,,,,,NE,Gargantuan,outsider,div,evil,extraplanar,,,,38,10,34,372,24d10+240,18,22,21,"bite +32 (2d8+12 plus grab/19-20), 2 claws +32 (2d6+12), tail slap +30 (2d10+6)",,20,20 (25 with tail),35,26,30,19,24,27,"Awesome Blow, Cleave, Combat Reflexes, Critical Focus, Great Cleave, Improved Bull Rush, Improved Initiative, Improved Critical (bite), Multiattack, Power Attack, Staggering Critical, Stunning Critical","Acrobatics +28 (+36 when jumping), Bluff +43, Diplomacy +31, Fly +27, Intimidate +31, Knowledge (arcana) +31, Knowledge (planes) +31, Knowledge (religion) +19, Perception +34, Sense Motive +30, Spellcraft +22, Use Magic Device +23","+8 Acrobatics when jumping, +8 Bluff","Abyssal, Celestial, Common, Draconic, Infernal; telepathy 100 ft.",armor training 4,any (Abaddon),solitary,"standard (+5 half-plate, other treasure)",Div,,,0,0,"50 ft., fly 120 ft. (good)",50,,good,,,,,1,1,0,0,0,,,NULL,,2029,0,0,0,0,PFRPG Bestiary 3,,
Alastor,25,820,,,,,,LE,Large,outsider,devil,evil,extraplanar,lawful,,,48,25,40,660,40d10+440,26,32,34,"+3 unholy vorpal battleaxe +59/+54/+49/+44 (2d6+19/19-20/x3) or 2 claws +55 (2d6+16), bite +55 (4d6+16 plus poison and disease), 2 wings +53 (2d6+16), tail slap +53 (2d8+24 plus grab)",,10,10,43,27,33,28,30,26,"Alertness, Awesome Blow, Bleeding Critical, Cleave, Critical Focus, Diehard, Endurance, Great Cleave, Great Fortitude, Improved Bull Rush, Improved Critical (battleaxe), Improved Initiative, Iron Will, Lightning Reflexes, Multiattack, Persuasive, Power Attack, Quicken Spell-Like Ability (power word stun), Quicken Spell-Like Ability (fireball), Weapon Focus (battleaxe)","Acrobatics +51, Bluff +51, Diplomacy +55, Disguise +51, Fly +49, Intimidate +55, Knowledge (arcana) +49, Knowledge (local) +49, Knowledge (planes) +52, Knowledge (religion) +49, Perception +57, Sense Motive +57, Spellcraft +49, Stealth +47, Survival +50",,"Abyssal, Common, Celestial, Draconic, Giant, Ignan, Infernal, Terran; telepathy 100 ft.",,any (Hell),solitary or retinue (Alastor plus 1d2 pit fiends),double standard,Devil,Grimfang,,0,0,"40 ft., fly 60 ft. (average)",40,,average,,,,,1,1,0,0,0,,,NULL,,2479,0,0,0,0,Tome of Horrors Complete,,
